0000001USBankStandardAbbreviationsGlossaryVersion,v34
0000001USBankStandardAbbreviationsGlossaryUpdateDate,20200727
1042s,1042S
401k,401K
A,A
Aba,ABA
Abandon,ABNDN
Abbreviate,ABBR
Abbreviated,ABBRVTD
Abbreviation,ABBRVTN
Abend,ABND
Able,ABLE
About,ABT
Abroad,ABRD
Abs,ABS
Absence,ABSNC
Absolute,ABSLT
Absorb,ABSRB
Abstract,ABSTRCT
Aca,ACA
Acaps,ACAPS
Accelerate,ACCLRT
Accelerated,ACCLRTD
Accelerator,ACCLRTR
Accept,ACCPT
Acceptor,ACCPTR
Acceptance,ACCPTNC
Access,ACCES
Accessed,ACCESD
Accessibility,ACCSBLTY
Accessible,ACCSBL
Accessory,ACSRY
Accident,ACCD
Accommodate,ACCMMDT
Accommodation,ACCMMDTN
Accordance,ACCRDNC
Account,ACCNT
Account Information File,AIF
Accounting,ACCNTNG
Accounts,ACCNTS
Accounts Payable,AP
Accounts Receivable,AR
Accrete,ACCRT
Accretion,ACCRTN
Accrual,ACCRL
Accrue,ACCR
Accrued,ACCRD
Accumulate,ACCMLT
Accumulation,ACCMLTN
Accuracy,ACCRCY
Accurate,ACCURT
Ach,ACH
Achieve,ACHV
Achievement,ACHVMNT
Acknowledge,ACK
Acknowledgment,ACK
Acquire,ACQ
Acquired,ACQRD
Acquirer,ACQR
Acquiring,ACQNG
Acquisition,ACQSTN
Acronym,ACRNYM
Act,ACT
Actimize,ACTMZ
Action,ACTN
Actions,ACTNS
Activate,ACTVT
Activation,ACTVTN
Active,ACTV
Active Server Page,ASP
Active Server Page Extended,ASPX
Active Server Pages,ASP
Activity,ACTVTY
Actor,ACTOR
Actual,ACTL
Actualize,ACTLZ
Actualized,ACTLZD
Acxiom,ACXIOM
Ad,AD
Ad Hoc,ADHC
Ada,ADA
Adapt,ADPT
Adaptor,ADPTR
Add,ADD
Added,ADDED
Addendum,ADNDM
Addition,ADDTN
Additional,ADDTNL
Additional Compensation,ADCOM
Additions,ADDTNS
Address,ADDR
Address Verification Service,AVS
Addressee,ADDRSSEE
Adhere,ADHR
Adjudication,ADJDCTN
Adjust,ADJ
Adjustable,ADJSTBL
Adjustable Rate Mortgage,ARM
Adjusted,ADJSTD
Adjustment,ADJSTMNT
Admin,ADMIN
Administer,ADMNSTR
Administrate,ADMNSRT
Administration,ADMNSTRTN
Administrator,ADMNSTRTR
Adobe,ADB
Adopt,ADOPT
Adoption,ADPTN
Adult,ADLT
Advance,ADVNC
Advanced,ADVNCD
Advertise,ADVRTS
Advertisement,ADVRTSMNT
Advertiser,ADVRTSR
Advertising,ADVRTSNG
Advice,ADV
Advise,ADVS
Advised,ADVISED
Advised Line,ADLN
Advisor,ADVSR
Advisory,ADVSRY
Affect,AFFCT
Affected,AFFCTD
Affidavit,AFFDVT
Affiliate,AFFLT
Affiliated,AFFLTD
Affiliation,AFFLTN
Affirm,AFFRM
Affirmative,AFFRMTV
Affirmative Action Plan,AAP
Africa,AFRCA
African,AFRCN
Afs,AFS
After,AFTER
After Hours,AH
Afternoon,AFTN
Against,AGNST
Against Payment,APMT
Age,AGE
Agency,AGNCY
Agent,AGENT
Aggregate,AGGRGT
Aggregation,AGGRGTN
Aggregator,AGGRGTR
Aggressive,AGGRSV
Aggressor,AGGRSR
Agile,AGL
Agility,AGLTY
Agree,AGR
Agreement,AGRMNT
Aibd,AIBD
Aid,AID
Aif,AIF
Aim,AIM
Air,AIR
Airborne,ARBRN
Aircraft,ARCRFT
Airline,AIRLN
Airport,AIRPT
Aisle,AISLE
Alarm,ALARM
Alert,ALERT
Algorithm,ALGRTHM
Alias,ALIAS
Alien,ALIEN
Align,ALIGN
Aligned,ALGND
Alignment,ALGNMNT
All,ALL
Alliance,ALLINC
Allocate,ALLCT
Allocated,ALLCTD
Allocation,ALLCTN
Allocation Basis,ALBS
Allot,ALLT
Allotment,ALTMNT
Allow,ALLW
Allowable,ALLWBL
Allowance,ALLWNC
Allowed,ALLWD
Alpha,ALPH
Alter,ALTER
Alternate,ALT
Alternative,ALTRNTV
Aluminum,ALMNUM
Always,ALWYS
Amend,AMND
Amendment,AMNDMNT
Amenity,AMNTY
America,AMRCA
American,AMRCN
American Bank Association,ABA
American Bankers Association,ABA
American Banking Association,ABA
American Depository Receipt,ADR
American Express,AMEX
American Land Title Association,ALTA
American Stock Exchange,ASE
Aml,AML
Amortisation,AMRTSTN
Amortise,AMRTS
Amortization,AMRTZTN
Amortize,AMRTZ
Amortized,AMRTZD
Amount,AMT
Analog,ANLOG
Analyse,ANLYS
Analysis,ANLYSS
Analyst,ANLYST
Analytic,ANLYTC
Analytics,ANLYTCS
Analyze,ANLYZ
Anchor,ANCHR
And,AND
Android,ANDRD
Angle,ANGLE
Anniversary,ANNV
Annotation,ANNTTN
Announce,ANNC
Announced,ANNCD
Announcement,ANNCMNT
Annual,ANN
Annual Percentage Rate,APR
Annual Report,ANRT
Annual Treasury Line Review,ATLR
Annuity,ANUTY
Anomoly,ANMLY
Anonymous,ANON
Answer,ANS
Antenna,ANTNA
Anti,ANTI
Anti Money Laundering,AML
Anti Virus,AV
Anticipate,ANTCPT
Anticipated,ANTCPTD
Antivirus,AV
Any,ANY
Apache,APCHE
Apart,APRT
Apartment,APRTMNT
Api,API
Appearance,APPRNC
Appendix,APPNDX
Apple,APPLE
Appliance,APLNC
Applicability,APPLCBLTY
Applicable,APPLCBL
Applicant,APPLCNT
Application,APPLCTN
Application Criticality Assessment,ACA
Application Program Interface,API
Application Programming Interface,API
Applied,APLIED
Apply,APLY
Appoint,APPNT
Appointment,APPNTMNT
Appraisal,APPRSL
Appraise,APPRS
Appraised,APPRSD
Appraisee,APPRSE
Appraiser,APPRSR
Appreciate,APPRCT
Appreciation,APPRCTN
Approach,APPRCH
Approval,APPRVL
Approve,APPRV
Approved,APPRVD
Approver,APPRVR
Approximate,APPRXMT
April,APRL
Arbitrage,ARB
Archer,ARCHR
Architect,ARCHT
Architecture,ARCHTR
Archival,ARCHVL
Archive,ARCH
Area,AREA
Argo,ARGO
Argue,ARGU
Argument,ARGUMNT
Army,ARMY
Army Post Office,APO
Around,ARND
Arrangement,ARNGMNT
Arrival,ARVL
Arrive,ARV
Article,ARTCL
Artifact,ARTFCT
Artist,ARTST
As,AS
As400,AS400
Ascend,ASC
Asian,ASIAN
Asp,ASP
Aspect,ASPCT
Aspx,ASPX
Assemble,ASMBL
Assertion,ASRTN
Assessed,ASSD
Assessment,ASSMNT
Asset,ASSET
Assets,ASSETS
Assets Liabilities Position System,ALPS
Assets Under Management,AUM
Assign,ASGN
Assigned,ASGND
Assignee,ASGNEE
Assigner,ASGNR
Assignment,ASGNMNT
Assist,ASSIST
Assistance,ASSTNC
Assistant,ASSTNT
Associate,ASSOCT
Associated,ASSOCTD
Association,ASSN
Association Of International Bond Dealers,AIBD
Assort,ASSRT
Assortment,ASSRTMNT
Assume,ASUM
Assumed,ASUMD
Assumption,ASMPTN
Asynchronous,ASYNCHRNS
At,AT
Attach,ATCH
Attachment,ATCHMT
Attain,ATTAIN
Attained,ATTAINED
Attempt,ATMPT
Attempts,ATMPT
Attention,ATTN
Attorney,ATTRNY
Attribute,ATTR
Auction,AUCT
Audience,AUDNC
Audio,AUDIO
Audit,AUDIT
Audit Conclusions,AUCN
Audit Program,AUPM
Augment,AUGMNT
August,AUG
Australian,AUST
Authenticate,AUTHNTCT
Authenticated,AUTHNTCTD
Authentication,AUTHNTCTN
Authenticator,AUTHNTCTR
Author,AUTHR
Authority,AUTHRTY
Authorization,AUTHRZTN
Authorize,AUTHRZ
Authorized,AUTHRZD
Authorizer,AUTHRZR
Auto,AUTO
Automate,AUTOMT
Automated,AUTOMTD
Automated Banking System,ABS
Automated Cage System,ACS
Automated Clearing House,ACH
Automated Credit Application Processing System,ACAPS
Automated Financial System,AFS
Automated Retrieval And Chargeback System,ARCS
Automated Teller Machine,ATM
Automated Teller System,ATS
Automatic,AUTOMTC
Automatic Branch System,ABRS
Automatic Teller Machine,ATM
Automobile,AUTOMBL
Auxiliary,AUX
Availability,AVLBLTY
Available,AVAIL
Average,AVG
Average Net Receivable,ANR
Award,AWRD
Aware,AWR
Awareness,AWRNS
Away,AWAY
Axis,AXIS
Azure,AZURE
B,B
B2b,B2B
Back,BACK
Back End,BEND
Back End Debt To Income,BENDDTI
Back Order,BO
Back To Back,BCBC
